案類,發生日期,發生地點
住宅竊盜,1040221,桃園市平鎮區
住宅竊盜,1040221,新竹市東區
住宅竊盜,1040221,雲林縣土庫鎮
住宅竊盜,1040221,台北市大安區
住宅竊盜,1040222,高雄市路竹區
住宅竊盜,1040222,新竹市北區
住宅竊盜,1040222,基隆市中正區
住宅竊盜,1040222,南投縣名間鄉
住宅竊盜,1040222,新北市蘆洲區
住宅竊盜,1040222,宜蘭縣五結鄉
住宅竊盜,1040222,基隆市中正區
住宅竊盜,1040222,台北市文山區
住宅竊盜,1040222,新竹市東區
住宅竊盜,1040222,新北市中和區
住宅竊盜,1040222,新竹縣竹東鎮
住宅竊盜,1040222,新竹市東區
住宅竊盜,1040222,宜蘭縣五結鄉
住宅竊盜,1040223,新北市淡水區
住宅竊盜,1040223,新竹市北區
住宅竊盜,1040223,新北市汐止區
住宅竊盜,1040223,彰化縣二水鄉
住宅竊盜,1040223,台北市士林區
住宅竊盜,1040223,桃園市八德區
住宅竊盜,1040223,台北市南港區
住宅竊盜,1040223,台中市南屯區
住宅竊盜,1040223,新北市中和區
住宅竊盜,1040224,台北市內湖區
住宅竊盜,1040224,新竹市北區
住宅竊盜,1040224,宜蘭縣五結鄉
住宅竊盜,1040224,彰化縣埤頭鄉
住宅竊盜,1040224,台南市中西區
住宅竊盜,1040224,台北市北投區
住宅竊盜,1040224,屏東縣屏東市
住宅竊盜,1040225,新北市八里區
住宅竊盜,1040225,屏東縣屏東市
住宅竊盜,1040225,新北市樹林區
住宅竊盜,1040225,台北市士林區
住宅竊盜,1040225,花蓮縣新城鄉
住宅竊盜,1040225,屏東縣東港鎮
住宅竊盜,1040225,台南市安平區
住宅竊盜,1040226,台北市大安區
住宅竊盜,1040226,新竹縣峨眉鄉
住宅竊盜,1040226,新北市中和區
住宅竊盜,1040226,新北市新莊區
住宅竊盜,1040226,台北市中正區
住宅竊盜,1040226,新北市新店區
住宅竊盜,1040226,台北市內湖區
住宅竊盜,1040226,彰化縣田尾鄉
住宅竊盜,1040226,台南市白河區
住宅竊盜,1040226,屏東縣鹽埔鄉
住宅竊盜,1040226,新北市永和區
住宅竊盜,1040226,雲林縣二崙鄉
住宅竊盜,1040227,台北市萬華區
住宅竊盜,1040227,台中市烏日區
住宅竊盜,1040227,新竹市北區
住宅竊盜,1040227,新北市板橋區
住宅竊盜,1040227,新北市板橋區
